COMID,AREA,Year,P10,P50,P90,MEAN,P10_Q,P50_Q,P90_Q,Estimated.Q,Month
7915025,9.5004,1965,0.223985584623598,0.351886230797569,0.560405174333103,0.392465213033194,2.12795264815803,3.34305994706923,5.32407331823422,3.72857650990056,3
7915025,9.5004,1965,0.405057893156056,1.03876219162364,1.7585843373494,1.07407365012813,3.84821200813979,9.86865632530121,16.7072546385542,10.2041293056773,4
7915025,9.5004,1965,0.285635940888388,0.721908250719558,1.22585139318885,0.755858939455733,2.71365569281604,6.85841714513609,11.6460785758514,7.18096226840525,5
7915025,9.5004,1965,0.248582995951417,0.653266840127204,1.70434855756862,0.853104313763603,2.36163789473684,6.20629628794449,16.191993036325,8.10483222247974,6
7915025,9.5004,1965,0.0350748715831958,0.146666666666667,0.384179482031721,0.197357796524364,0.333225309988994,1.393392,3.64985875109416,1.87497801010007,7
7915025,9.5004,1965,0.020506329113924,0.0749440745497469,0.16,0.0861779309924001,0.194818329113924,0.711998685852416,1.520064,0.818724815600198,8
7915025,9.5004,1965,0.0277777777777778,0.0653212520593081,0.153301435406699,0.0795363986774764,0.263900000000001,0.62057802306425,1.4564249569378,0.755627601995497,9
7915025,9.5004,1965,0.0231659973226238,0.052803464600464,0.132866929838027,0.0727697162918522,0.220086240963856,0.501654035090248,1.2622889802332,0.691341412659113,10
7915025,9.5004,1965,0.0507065143691652,0.0865983506155296,0.169498432601881,0.102391526704949,0.481732169112817,0.822718970187777,1.61030290909091,0.972760460307695,11
7915025,9.5004,1965,0.0378540919967814,0.0711043654235328,0.138491015482823,0.0893062977614291,0.359629015606222,0.675519913269731,1.31572004349302,0.848445551252681,12
7915025,9.5004,1966,0.0267303174252818,0.0786231884057971,0.148997301724969,0.090552238509655,0.253948707667147,0.746951739130435,1.41553396530789,0.860282486737126,1
7915025,9.5004,1966,0.0375701189404413,0.0708415501651978,0.151020999416801,0.0889891393969972,0.356931157981768,0.673023063189445,1.43475990285937,0.845432419927233,2
7915025,9.5004,1966,0.0703071672354951,0.190083839259902,0.288219544846051,0.190152751072636,0.667946211604098,1.80587250650477,2.73820096385542,1.80652719629047,3
